Page	Channel	Label	MinValue	MaxValue
0	ArAr(80)	80ArAr	0.00	8137.00
1	In(115)	CD20	0.00	9.00
2	I(127)	127I	0.00	58.00
3	Xe(131)	131Xe	0.00	313.00
4	Xe(134)	134Xe	0.00	176.00
5	Ba(138)	138Ba	0.00	429.00
6	Pr(141)	CD68	0.00	26413.00
7	Nd(142)	CD138	0.00	166.00
8	Nd(143)	CD47	0.00	48.00
9	Nd(144)	CD31	0.00	376.00
10	Nd(145)	Tbet	0.00	38.00
11	Nd(146)	BCL2	0.00	799.00
12	Sm(147)	CD44	0.00	27.00
13	Nd(148)	CD163	0.00	544.00
14	Sm(149)	CD45RO	0.00	34.00
15	Nd(150)	PDL1	0.00	610.00
16	Eu(151)	MHC_II	0.00	335.00
17	Sm(152)	CD66b	0.00	61.00
18	Eu(153)	LAG3	0.00	27.00
19	Sm(154)	TIM3	0.00	91.00
20	Gd(155)	FoxP3	0.00	91.00
21	Gd(156)	CD4	0.00	36.00
22	Gd(158)	CTLA4	0.00	164.00
23	Tb(159)	Brachiury	0.00	40.00
24	Gd(160)	CD11c	0.00	71.00
25	Dy(161)	CD86	0.00	21.00
26	Dy(162)	CD8	0.00	198.00
27	Dy(163)	ERG	0.00	26.00
28	Dy(164)	S100	0.00	145.00
29	Ho(165)	PD1	0.00	163.00
30	Er(167)	GranzymeB	0.00	132.00
31	Tm(169)	CD56	0.00	39.00
32	Er(170)	CD3	0.00	13.00
33	Yb(171)	CD21	0.00	117.00
34	Yb(172)	CD10	0.00	1508.00
35	Yb(173)	Ki67	0.00	29.00
36	Yb(174)	CD72a	0.00	31.00
37	Lu(175)	GATA3	0.00	35.00
38	Yb(176)	CD80	0.00	37.00
39	Ir(191)	DNA1	0.00	148.00
40	Ir(193)	DNA2	0.00	257.00
41	Pb(208)	208Pb	0.00	1358.00
42	Bi(209)	aSMA	0.00	247.00
